record_id,operation_id,wpcb_id_per_operation,class_id,iron,date_logged,category,gold,silver,copper,aluminum,lead,nickel,tin,zinc,platinum,palladium,chromium
1,309,1,26,14.4,"2025-05-02 15:43:45","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
2,309,1,26,14.4,"2025-05-02 15:43:45","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
3,309,1,27,40,"2025-05-02 15:43:45",REC,0,0,11,507,0,0,6,0,0,0,0
6,309,1,27,40,"2025-05-02 15:43:45",REC,0,0,11,507,0,0,6,0,0,0,0
7,309,1,62,7.99992,"2025-05-02 15:43:45",QFP,0.064997,0.37868,325.232,0.000001,0.033333,7.92635,0.099999,0.33333,0,0.341653,0
8,309,1,60,4.34544,"2025-05-02 15:43:45",QFP,0.309473,0.545866,176.443,0,0,0.199752,0,0.217272,0,0.00861,0
9,309,2,26,14.4,"2025-05-02 15:43:58","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
10,309,2,26,14.4,"2025-05-02 15:43:58","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
11,309,2,26,14.4,"2025-05-02 15:43:58","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
12,309,2,33,689.388,"2025-05-02 15:43:58",DIP,0,0.096812,0.000001,1.23268,4.44,492,7.56,0,0,0,3
13,309,3,26,14.4,"2025-05-02 15:44:42","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
29,309,3,26,14.4,"2025-05-02 15:44:42","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
30,309,3,26,14.4,"2025-05-02 15:44:42","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
31,309,3,62,7.99992,"2025-05-02 15:44:42",QFP,0.064997,0.37868,325.232,0.000001,0.033333,7.92635,0.099999,0.33333,0,0.341653,0
32,309,3,62,7.99992,"2025-05-02 15:44:42",QFP,0.064997,0.37868,325.232,0.000001,0.033333,7.92635,0.099999,0.33333,0,0.341653,0
36,309,3,27,40,"2025-05-02 15:44:42",REC,0,0,11,507,0,0,6,0,0,0,0
37,309,3,33,689.388,"2025-05-02 15:44:42",DIP,0,0.096812,0.000001,1.23268,4.44,492,7.56,0,0,0,3
38,309,4,26,14.4,"2025-05-02 15:45:24","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
39,309,4,26,14.4,"2025-05-02 15:45:24","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0,0
61,309,4,26,14.4,"2025-05-02 15:45:24","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
62,309,4,26,14.4,"2025-05-02 15:45:24","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
63,309,4,90,1.2926,"2025-05-02 15:45:24",SOP,0.000474,0.674899,54.9596,0,0,0.050224,0,0.0562,0,0.005039,0
64,309,4,90,1.2926,"2025-05-02 15:45:24",SOP,0.000474,0.674899,54.9596,0,0,0.050224,0,0.0562,0,0.005039,0
65,309,4,76,0.705,"2025-05-02 15:45:24",SOP,0.1235,0.824691,28.8261,0,0,0,1.83,0.036,0,0,0
66,309,4,68,21.7643,"2025-05-02 15:45:24",QFP,2.35443,4.27463,812.395,0,0,2.76894,0,1.67418,0,0.119351,0
67,310,1,27,40,"2025-05-03 00:02:22",REC,0,0,11,507,0,0,6,0,0,0,0
68,310,2,26,14.4,"2025-05-03 00:03:20","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
69,310,2,26,14.4,"2025-05-03 00:03:20","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
70,310,2,27,40,"2025-05-03 00:03:20",REC,0,0,11,507,0,0,6,0,0,0,0
71,310,3,62,7.99992,"2025-05-03 00:03:47",QFP,0.064997,0.37868,325.232,0.000001,0.033333,7.92635,0.099999,0.33333,0,0.341653,0
72,310,3,26,14.4,"2025-05-03 00:03:47","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
73,310,3,26,14.4,"2025-05-03 00:03:47","SMD EC",0,0,3.2,1284.8,0,0,1.6,0,0,0,0
74,310,3,72,0.43212,"2025-05-03 00:03:47",SOP,0.000475,0,16.1436,0,0,0.057072,0,0.03324,0,0.002802,0
